timestamp,location,temp,humidity,wind_speed,precip
2025-10-14 12:00:00,Loc_1,6.49,42.2,2.2,0.064
2025-10-14 13:00:00,Loc_1,5.65,45.4,4.41,0.016
2025-10-14 14:00:00,Loc_1,2.19,35.9,0.74,0.001
2025-10-14 15:00:00,Loc_1,7.15,25.8,3.18,0.196
2025-10-14 16:00:00,Loc_1,4.63,17.0,3.47,0.0
2025-10-14 17:00:00,Loc_1,7.11,20.7,3.35,0.091
2025-10-14 18:00:00,Loc_1,2.53,24.1,2.2,0.0
2025-10-14 19:00:00,Loc_1,7.24,16.5,1.23,0.0
2025-10-14 20:00:00,Loc_1,5.46,21.7,4.22,0.015
2025-10-14 21:00:00,Loc_1,5.95,16.5,1.26,0.0
2025-10-14 22:00:00,Loc_1,4.96,23.8,5.27,0.021
2025-10-14 23:00:00,Loc_1,0.83,31.7,1.52,0.0
2025-10-15 00:00:00,Loc_1,6.72,36.2,1.96,0.048
2025-10-15 01:00:00,Loc_1,6.6,40.4,0.47,0.573
2025-10-15 02:00:00,Loc_1,5.99,57.3,0.58,0.101
2025-10-15 03:00:00,Loc_1,2.54,47.4,3.3,0.126
2025-10-15 04:00:00,Loc_1,7.49,49.2,1.83,0.0
2025-10-15 05:00:00,Loc_1,10.91,55.7,2.8,0.076
2025-10-15 06:00:00,Loc_1,5.56,63.2,4.7,0.163
2025-10-15 07:00:00,Loc_1,2.46,59.6,1.92,0.0
2025-10-15 08:00:00,Loc_1,5.13,59.9,5.06,0.027
2025-10-15 09:00:00,Loc_1,2.83,65.2,2.69,0.0
2025-10-15 10:00:00,Loc_1,2.11,51.1,2.69,0.106
2025-10-15 11:00:00,Loc_1,5.79,40.9,3.53,0.148
2025-10-15 12:00:00,Loc_1,5.15,36.5,4.92,0.0
2025-10-15 13:00:00,Loc_1,6.43,27.6,1.84,0.189
2025-10-15 14:00:00,Loc_1,7.63,16.7,6.33,0.0
2025-10-15 15:00:00,Loc_1,5.68,23.6,2.37,0.0
2025-10-15 16:00:00,Loc_1,5.61,18.6,1.85,0.007
2025-10-15 17:00:00,Loc_1,4.47,21.1,0.0,0.0
2025-10-15 18:00:00,Loc_1,3.14,12.4,3.71,0.071
2025-10-15 19:00:00,Loc_1,10.44,17.7,5.12,0.0
2025-10-15 20:00:00,Loc_1,7.51,21.8,2.59,0.0
